,Date,Number of reported results
0,2022-01-07,80630
1,2022-01-08,101503
2,2022-01-09,91477
3,2022-01-10,107134
4,2022-01-11,153880
5,2022-01-12,137586
6,2022-01-13,132726
7,2022-01-14,169484
8,2022-01-15,205880
9,2022-01-16,209609
10,2022-01-17,222197
11,2022-01-18,220950
12,2022-01-19,280622
13,2022-01-20,243964
14,2022-01-21,273727
15,2022-01-22,241489
16,2022-01-23,269929
17,2022-01-24,258038
18,2022-01-25,276404
19,2022-01-26,302348
20,2022-01-27,331844
21,2022-01-28,296968
22,2022-01-29,313220
23,2022-01-30,294687
24,2022-01-31,341314
25,2022-02-01,351663
26,2022-02-02,361908
27,2022-02-03,358176
28,2022-02-04,359679
29,2022-02-05,319698
30,2022-02-06,311018
31,2022-02-07,288228
32,2022-02-08,336236
33,2022-02-09,305372
34,2022-02-10,304830
35,2022-02-11,278826
36,2022-02-12,269885
37,2022-02-13,277471
38,2022-02-14,261521
39,2022-02-15,287836
40,2022-02-16,289721
41,2022-02-17,342003
42,2022-02-18,265238
43,2022-02-19,282327
44,2022-02-20,273306
45,2022-02-21,278731
46,2022-02-22,306356
47,2022-02-23,277576
48,2022-02-24,250674
49,2022-02-25,255907
50,2022-02-26,248363
51,2022-02-27,250413
52,2022-02-28,251094
53,2022-03-01,240137
54,2022-03-02,257304
55,2022-03-03,240018
56,2022-03-04,203730
57,2022-03-05,229895
58,2022-03-06,218595
59,2022-03-07,218595
60,2022-03-08,207473
61,2022-03-09,201799
62,2022-03-10,208884
63,2022-03-11,226349
64,2022-03-12,192049
65,2022-03-13,179436
66,2022-03-14,185406
67,2022-03-15,202855
68,2022-03-16,217856
69,2022-03-17,169071
70,2022-03-18,179830
71,2022-03-19,156311
72,2022-03-20,154987
73,2022-03-21,173636
74,2022-03-22,160161
75,2022-03-23,156785
76,2022-03-24,169066
77,2022-03-25,150197
78,2022-03-26,149507
79,2022-03-27,165468
80,2022-03-28,173696
81,2022-03-29,149070
82,2022-03-30,158139
83,2022-03-31,135219
84,2022-04-01,144648
85,2022-04-02,155079
86,2022-04-03,124532
87,2022-04-04,129651
88,2022-04-05,121356
89,2022-04-06,117856
90,2022-04-07,117761
91,2022-04-08,141158
92,2022-04-09,134210
93,2022-04-10,126241
94,2022-04-11,109828
95,2022-04-12,114907
96,2022-04-13,123255
97,2022-04-14,113448
98,2022-04-15,129991
99,2022-04-16,107987
100,2022-04-17,106681
101,2022-04-18,112383
102,2022-04-19,108899
103,2022-04-20,102007
104,2022-04-21,97955
105,2022-04-22,119232
106,2022-04-23,95562
107,2022-04-24,97452
108,2022-04-25,91548
109,2022-04-26,103153
110,2022-04-27,98967
111,2022-04-28,88974
112,2022-04-29,106652
113,2022-04-30,77991
114,2022-05-01,77658
115,2022-05-02,95643
116,2022-05-03,85817
117,2022-05-04,107750
118,2022-05-05,85979
119,2022-05-06,76292
120,2022-05-07,74458
121,2022-05-08,72518
122,2022-05-09,88932
123,2022-05-10,74412
124,2022-05-11,79446
125,2022-05-12,75673
126,2022-05-13,77585
127,2022-05-14,73225
128,2022-05-15,67115
129,2022-05-16,68349
130,2022-05-17,70722
131,2022-05-18,73933
132,2022-05-19,70920
133,2022-05-20,69884
134,2022-05-21,66814
135,2022-05-22,67909
136,2022-05-23,66431
137,2022-05-24,63380
138,2022-05-25,62723
139,2022-05-26,63188
